,Username,Name,No_of_followers,No_of_followees,Tweet,Location,Created_at,Like_count,Retweet_count,to0,to1,to2,to3,to4,to5
0,adhisaputraa_,Pazolll.,238,187,"Tepat 7 hari yang lalu  @corbuzier mengunggah podcast bareng Alm. Edelenyi Laura. Terhitung sampai hari ini  video tersebut ""masih belum kering"" dari kolom trending YouTube.

Bukti bahwa banyak orang yang sayang dan peduli dengan Alm. Lora. 

Rest in love ???? https//t.co/jmgyBCCeR7",Surabaya  Indonesia,15/12/2021  062200,0,0,corbuzier,,,,,
1,FeyyNengEna,Bang Feyy,31,507,@tirta_cipeng Baru seminggu yg lalu saya lihat dia podcast om deddy @corbuzier  ya Allah .smoga Khusnul khotimah????????,,15/12/2021  061200,1,0,tirta_cipeng,corbuzier,,,,
2,Peryfz,Ipenk,589,1261,Laura meninggal? Baru aja follow ig kemarin garaliat di podcast om @corbuzier,,15/12/2021  055900,0,0,corbuzier,,,,,
3,faisal_rahmannn,faisal rahman,171,847,"RT @Nanda_nnc Ponpes NU nih dan katanya juga jaringan teroris Jamaah Islamiyah.
Padahal NU selalu tunjuk kelompok diluar NU sebagai radika…",INDONESIA,15/12/2021  055600,0,6,Nanda_nnc,,,,,
4,iwansetiawandd,1w4nd 53t14w4n,131,493,"RT @Nanda_nnc Ponpes NU nih dan katanya juga jaringan teroris Jamaah Islamiyah.
Padahal NU selalu tunjuk kelompok diluar NU sebagai radika…",Balam,15/12/2021  055600,0,6,Nanda_nnc,,,,,
5,__megnn,name cannot be blank,441,404,"@FEBRIANADK @tirta_cipeng @makLambeTurah @corbuzier Eh iya bener meninggal?
Innalilahi wainnailaihi raji'un:(((",,12/15/2021 5:53,0,0,FEBRIANADK,tirta_cipeng,makLambeTurah,corbuzier,,
6,cahxoedoez,cahxoedoez,5,9,@FEBRIANADK @tirta_cipeng @makLambeTurah @corbuzier Sama ?????? moga almarhumah husnul khotimah ????,,12/15/2021 5:53,1,0,FEBRIANADK,tirta_cipeng,makLambeTurah,corbuzier,,
7,ayatsanayu,Aya Tsanayu,28,76,"@Nanda_nnc @corbuzier @bintangemon @Giring_Ganesha Ormas yg jualan radikal radikul, maklum yg pimpin kyai amplop",Between here and there,12/15/2021 5:52,0,0,Nanda_nnc,corbuzier,bintangemon,Giring_Ganesha,,
8,FEBRIANADK,Febriana D,381,1105,"@tirta_cipeng @makLambeTurah Loh...
Innalillahi wa inna illaihi ro'jiun...
Baru kmrn liat perjuangannya berhasil bawa ke meja hijau dan tampil mengharukan di podcast om @corbuzier ??????","Kota Surabaya, Jawa Timur",12/15/2021 5:50,1,0,tirta_cipeng,makLambeTurah,,,,
9,dyahkusuma488,Dyah Wahyu Kusuma ??????,132,139,@Nanda_nnc @corbuzier @bintangemon @Giring_Ganesha Maha benar NU dengan segala apa yg di katakannya,"Gondang,Nganjuk,Jawa Timur ",12/15/2021 5:49,0,0,Nanda_nnc,corbuzier,bintangemon,Giring_Ganesha,,
10,cisse_lana88,black_balok,0,12,"RT @WhisnuNugroho5: Sangat menggiurkan bukan, inilah yagoal dengan skema ponzi yang mencumbu hati masyarakat Indonesia dikala sulitnya roda…",,12/15/2021 5:43,0,1,WhisnuNugroho5,,,,,
11,udjang_faisal,F????????????????????????a??????????????i?????????,167,92,"kemaren baru liat di podcast mr @corbuzier sekarang....

innalillahi, semoga diberikan tempat yg terbaik","Semarang, Jawa Tengah",12/15/2021 5:38,0,0,corbuzier,,,,,
12,psandiwarwar,MX_ded,1058,1617,"@ezash Baru liat kemaren di podcast @corbuzier ????

Innalillahi wa inna ilaihi rajiun 
#RIPlaura",,12/15/2021 5:18,1,1,ezash,corbuzier,,,,
13,alimfathsaja,pasaktenda,171,99,"@AREAJULID Innalillahi, baru aja kemarin ngeview dia di podcastnya om @corbuzier ????","Kediri, Indonesia",12/15/2021 5:15,1,0,AREAJULID,corbuzier,,,,
14,DybalaGonzalo,Gonzalo Dybala,95,175,@tukangrosok___ 80 juta hasilnya kaya gini @aniesbaswedan? Cc @dprddkijakarta @KPK_RI @bpkri @kemenkeu @KemenPU @DivHumas_Polri @kompascom @detikcom @mediaindonesia @Rosianna766Hi @MataNajwa @corbuzier ?,,12/15/2021 4:53,0,0,tukangrosok___,aniesbaswedan?,dprddkijakarta,KPK_RI,bpkri,corbuzier
15,AriefNoMore,Bani Adller A,600,1852,@syahrulfire @corbuzier udah nonton? ane tebak pasti belum nonton makanya dungunya terlampau batas,Cilacap,12/15/2021 4:16,0,0,syahrulfire,corbuzier,,,,
